key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.946,0,59,59,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,0.9372,0,60,60,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.0938,0,61,61,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.4201,0,62,62,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.1434,0,63,63,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,0.9017,0,64,64,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.8489,0,65,65,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,1.4045,0,66,66,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.1912,0,67,67,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,2.1386,0,68,68,24,1,10000,0,149000,89
