Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
1,0.3169,0.66667,1,0.66667,2,12,12,24,16,0.5,0.75,2,1
0,0.39086,1,0.2,0.2,1,5,1,20,4,0.25,0.25,2,1
1,0.29108,0.8,0.71429,0.57143,1,15,21,16,28,0.9375,0.75,1,1
0,0.32088,1,0.66667,0.66667,1,2,3,8,12,0.25,0.25,2,1
1,0.28919,0.5,0.5,1,1,12,6,16,16,0.75,0.375,1,1
0,0.31465,1,0.625,0.625,2,5,8,20,32,0.25,0.25,2,1
0,0.29593,0.66667,0.85714,0.77778,2,6,7,18,14,0.33333,0.5,1,1
1,0.29803,0.5,0.25,0.5,2,3,12,8,16,0.375,0.75,2,1
0,0.38387,1,0.28571,0.28571,1,6,21,8,28,0.75,0.75,2,1
1,0.35793,0.5,0.5,1,1,9,18,24,24,0.375,0.75,2,1
0,0.33898,0.8,0.4,0.5,1,5,2,20,10,0.25,0.2,2,1
0,0.26866,0.8,0.5,0.4,2,4,2,20,8,0.2,0.25,1,1
1,0.23253,0.5,0.8,0.625,1,4,5,32,20,0.125,0.25,2,1
0,0.23218,0.5,0.5,1,2,6,12,16,16,0.375,0.75,1,1
0,0.29034,1,0.25,0.25,1,6,24,8,32,0.75,0.75,2,1
1,0.37318,0.8,0.38462,0.30769,2,5,13,8,26,0.625,0.5,1,1
1,0.36779,0.5,0.6,0.3,1,5,3,20,6,0.25,0.5,2,1
0,0.35288,0.8,0.71429,0.57143,1,21,15,28,16,0.75,0.9375,1,1
0,0.35407,0.5,0.33333,0.16667,2,2,6,4,24,0.5,0.25,2,1
1,0.2674,0.8,0.28571,0.35714,1,7,2,28,10,0.25,0.2,1,1
1,0.28769,0.5,0.125,0.25,2,1,8,4,16,0.25,0.5,2,1
1,0.33733,0.8,0.1,0.125,2,30,3,32,4,0.9375,0.75,1,1
0,0.32398,0.5,0.5,0.25,1,6,12,8,32,0.75,0.375,2,1
0,0.28584,0.5,0.25,0.125,1,12,3,32,4,0.375,0.75,1,1
1,0.30454,1,0.6,0.6,2,3,5,12,20,0.25,0.25,1,1
1,0.29567,0.66667,1,0.66667,1,15,15,20,30,0.75,0.5,1,1
0,0.33797,0.66667,1,0.66667,1,12,12,24,16,0.5,0.75,1,1
1,0.32409,0.8,0.2,0.25,1,30,6,32,8,0.9375,0.75,1,1
1,0.33871,0.5,0.4,0.8,1,2,5,16,20,0.125,0.25,2,1
1,0.36601,1,0.5,0.5,1,2,1,8,4,0.25,0.25,1,1
0,0.3356,0.8,0.375,0.3,1,8,3,20,6,0.4,0.5,1,1
1,0.43559,0.66667,0.75,0.5,2,4,3,12,6,0.33333,0.5,2,1
1,0.34222,1,0.33333,0.33333,2,3,1,12,4,0.25,0.25,1,1
1,0.2754,0.5,0.8,0.625,1,12,15,32,20,0.375,0.75,2,1
1,0.25555,0.8,0.71429,0.57143,2,15,21,16,28,0.9375,0.75,1,1
0,0.25401,1,0.5,0.5,1,2,1,8,4,0.25,0.25,2,1
1,0.27941,0.8,0.7,0.875,1,30,21,32,28,0.9375,0.75,1,1
1,0.21965,0.66667,0.4,0.26667,1,5,2,30,8,0.16667,0.25,2,1
1,0.24528,0.66667,0.125,0.1875,2,8,1,32,6,0.25,0.16667,1,1
1,0.32532,0.8,0.6,0.75,2,3,5,15,20,0.2,0.25,2,1
0,0.28141,0.5,1,0.5,2,3,3,8,4,0.375,0.75,1,1
1,0.32359,0.66667,0.5,0.33333,2,2,1,12,4,0.16667,0.25,2,1
1,0.22934,0.66667,0.81818,0.54545,2,9,11,12,22,0.75,0.5,1,1
1,0.47804,0.5,0.28571,0.14286,2,2,7,4,28,0.5,0.25,1,1
0,0.32277,0.5,0.6,0.3,2,5,3,20,6,0.25,0.5,1,1
1,0.2859,0.5,0.6,0.83333,2,6,10,24,20,0.25,0.5,2,1
0,0.29546,0.5,0.33333,0.16667,1,9,3,24,4,0.375,0.75,1,1
1,0.30382,0.5,0.625,0.3125,1,8,5,32,10,0.25,0.5,2,1
1,0.27138,0.66667,1,0.66667,1,6,6,8,12,0.75,0.5,1,1
