key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,ssAmount_text,llAmount_text,llDelay_text,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,ss_Amt_text,ss_Delay_text,ll_Amt_text,ll_Delay_text,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.456,0,17,17,72,1,25000,0,75000,31,"$25,000 ",0 días,"$75,000 ",31 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,1.043,0,18,18,38,1,5000,0,104000,10,"$5,000 ",0 días,"$104,000 ",10 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.362,0,19,19,50,1,5000,0,15000,91,"$5,000 ",0 días,"$15,000 ",91 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.475,0,20,20,27,1,10000,0,61000,150,"$10,000 ",0 días,"$61,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.378,0,21,21,76,1,25000,0,55000,60,"$25,000 ",0 días,"$55,000 ",60 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.419,0,22,22,81,1,25000,0,55000,90,"$25,000 ",0 días,"$55,000 ",90 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,1.408,0,23,23,83,1,25000,0,125000,89,"$25,000 ",0 días,"$125,000 ",89 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.069,0,24,24,67,1,25000,0,75000,10,"$25,000 ",0 días,"$75,000 ",10 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.014,0,25,25,13,1,10000,0,111000,30,"$10,000 ",0 días,"$111,000 ",30 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.031,0,26,26,1,1,10000,0,39000,6,"$10,000 ",0 días,"$39,000 ",6 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.54,0,27,27,74,1,25000,0,150000,29,"$25,000 ",0 días,"$150,000 ",29 días,,
