trial_type,time_elapsed,internal_node_id,bonus,subject,practice,trial,n_pumps,limit,outcome,value,information_seeking,emo_rating_1,winnings,emo_rating_2,stimulus,age,gender,final_outcome,final_fb,emo_diff,missed
balloon-inflate,296061,0.0-7.0-2.0,1.2,207,FALSE,10,6,9,bank,20,FALSE,157,1.2,119,NA,43,male,bank,FALSE,-38,3
balloon-inflate,387362,0.0-7.0-2.0,0,208,FALSE,10,5,4,bust,20,FALSE,-50,0,NA,NA,77,female,bust,FALSE,NA,-1
balloon-inflate,350603,0.0-7.0-2.0,0.6,209,FALSE,10,3,11,bank,20,TRUE,200,0.6,-142,NA,51,female,bank,TRUE,-342,8
balloon-inflate,191968,0.0-7.0-2.0,0,210,FALSE,10,5,1,bust,20,FALSE,34,0,NA,NA,30,female,bust,FALSE,NA,-4
balloon-inflate,11796452,0.0-7.0-2.0,0,211,FALSE,10,7,2,bust,20,FALSE,-157,0,NA,NA,50,female,bust,FALSE,NA,-5
balloon-inflate,289547,0.0-7.0-2.0,1,212,FALSE,10,5,10,bank,20,TRUE,200,1,-64,NA,21,male,bank,TRUE,-264,5
balloon-inflate,456119,0.0-7.0-2.0,1,213,FALSE,10,5,8,bank,20,TRUE,196,1,-31,NA,51,female,bank,TRUE,-227,3
balloon-inflate,188992,0.0-7.0-2.0,0,214,FALSE,10,6,2,bust,20,FALSE,89,0,NA,NA,20,female,bust,FALSE,NA,-4
balloon-inflate,308598,0.0-7.0-2.0,1.2,215,FALSE,10,6,10,bank,20,TRUE,171,1.2,-200,NA,42,female,bank,TRUE,-371,4
balloon-inflate,287776,0.0-7.0-2.0,0,216,FALSE,10,3,2,bust,20,FALSE,-200,0,NA,NA,54,female,bust,FALSE,NA,-1
balloon-inflate,242669,0.0-7.0-2.0,1.2,217,FALSE,10,6,10,bank,20,TRUE,178,1.2,-200,NA,24,female,bank,TRUE,-378,4
balloon-inflate,228391,0.0-7.0-2.0,0,218,FALSE,10,4,0,bust,20,FALSE,-200,0,NA,NA,36,male,bust,FALSE,NA,-4
balloon-inflate,210083,0.0-7.0-2.0,0,219,FALSE,10,6,3,bust,20,FALSE,-200,0,NA,NA,26,female,bust,FALSE,NA,-3
balloon-inflate,402908,0.0-7.0-2.0,0,220,FALSE,10,6,1,bust,20,FALSE,-139,0,NA,NA,27,male,bust,FALSE,NA,-5
balloon-inflate,257742,0.0-7.0-2.0,0,221,FALSE,10,5,4,bust,20,FALSE,-104,0,NA,NA,33,male,bust,FALSE,NA,-1
balloon-inflate,174206,0.0-7.0-2.0,0,222,FALSE,10,8,7,bust,20,FALSE,-200,0,NA,NA,29,male,bust,FALSE,NA,-1
balloon-inflate,220419,0.0-7.0-2.0,1,223,FALSE,10,5,7,bank,20,FALSE,122,1,73,NA,48,male,bank,FALSE,-49,2
balloon-inflate,177504,0.0-7.0-2.0,0,224,FALSE,10,6,2,bust,20,FALSE,-200,0,NA,NA,28,female,bust,FALSE,NA,-4
balloon-inflate,205070,0.0-7.0-2.0,0.8,225,FALSE,10,4,12,bank,20,TRUE,200,0.8,91,NA,25,female,bank,TRUE,-109,8
balloon-inflate,210067,0.0-7.0-2.0,0,226,FALSE,10,5,4,bust,20,FALSE,-200,0,NA,NA,29,female,bust,FALSE,NA,-1
balloon-inflate,464299,0.0-7.0-2.0,0,227,FALSE,10,7,4,bust,20,FALSE,-200,0,NA,NA,46,female,bust,FALSE,NA,-3
balloon-inflate,261156,0.0-7.0-2.0,0,228,FALSE,10,8,7,bust,20,FALSE,-200,0,NA,NA,48,female,bust,FALSE,NA,-1
balloon-inflate,405293,0.0-7.0-2.0,1.2,229,FALSE,10,6,6,bank,20,TRUE,77,1.2,200,NA,35,male,bank,TRUE,123,0
balloon-inflate,197606,0.0-7.0-2.0,1.4,230,FALSE,10,7,9,bank,20,TRUE,200,1.4,200,NA,22,male,bank,TRUE,0,2
balloon-inflate,350023,0.0-7.0-2.0,1.4,231,FALSE,10,7,11,bank,20,TRUE,200,1.4,-67,NA,25,female,bank,TRUE,-267,4
balloon-inflate,269466,0.0-7.0-2.0,0,232,FALSE,10,6,2,bust,20,FALSE,-112,0,NA,NA,36,male,bust,FALSE,NA,-4
balloon-inflate,358542,0.0-7.0-2.0,0.4,233,FALSE,10,2,12,bank,20,FALSE,146,0.4,137,NA,55,female,bank,FALSE,-9,10
balloon-inflate,280597,0.0-7.0-2.0,1.2,234,FALSE,10,6,10,bank,20,TRUE,200,1.2,4,NA,33,female,bank,TRUE,-196,4
balloon-inflate,176390,0.0-7.0-2.0,0,235,FALSE,10,4,1,bust,20,FALSE,-200,0,NA,NA,18,male,bust,FALSE,NA,-3
balloon-inflate,1658225,0.0-7.0-2.0,1,236,FALSE,10,5,6,bank,20,TRUE,200,1,144,NA,25,female,bank,TRUE,-56,1
balloon-inflate,185092,0.0-7.0-2.0,0,237,FALSE,10,5,0,bust,20,FALSE,-200,0,NA,NA,26,female,bust,FALSE,NA,-5
balloon-inflate,205414,0.0-7.0-2.0,0,238,FALSE,10,7,5,bust,20,FALSE,-199,0,NA,NA,25,female,bust,FALSE,NA,-2
balloon-inflate,212885,0.0-7.0-2.0,0,239,FALSE,10,7,0,bust,20,FALSE,-54,0,NA,NA,36,male,bust,FALSE,NA,-7
balloon-inflate,465477,0.0-7.0-2.0,0,240,FALSE,10,6,3,bust,20,FALSE,-200,0,NA,NA,45,male,bust,FALSE,NA,-3
balloon-inflate,210052,0.0-7.0-2.0,0,241,FALSE,10,5,2,bust,20,FALSE,-14,0,NA,NA,43,female,bust,FALSE,NA,-3
balloon-inflate,235048,0.0-7.0-2.0,1.2,242,FALSE,10,6,8,bank,20,TRUE,41,1.2,-29,NA,20,female,bank,TRUE,-70,2
balloon-inflate,205852,0.0-7.0-2.0,1.2,243,FALSE,10,6,6,bank,20,TRUE,87,1.2,189,NA,18,female,bank,TRUE,102,0
balloon-inflate,363905,0.0-7.0-2.0,1,244,FALSE,10,5,10,bank,20,TRUE,193,1,10,NA,22,male,bank,TRUE,-183,5
